ID,Location_Description,State,pH_Min_2023,pH_Max_2023,pH_Min_2022,pH_Max_2022,pH_Min_2021,pH_Max_2021,pH_Min_2020,pH_Max_2020,pH_Min_2019,Conductivity_Min_2023,Conductivity_Max_2023,Conductivity_Min_2022,Conductivity_Max_2022,Conductivity_Min_2021,Conductivity_Max_2021,Conductivity_Min_2020,Conductivity_Max_2020,Conductivity_Min_2019,Conductivity_Max_2019,Temperature_Min_2023,Temperature_Max_2023,Temperature_Min_2022,Temperature_Max_2022,Temperature_Min_2021,Temperature_Max_2021,Temperature_Min_2020,Temperature_Max_2020,Temperature_Min_2019,Temperature_Max_2019,Dissolved_O2_Min_2023,Dissolved_O2_Max_2023,Dissolved_O2_Min_2022,Dissolved_O2_Max_2022,Dissolved_O2_Min_2021,Dissolved_O2_Max_2021,Dissolved_O2_Min_2020,Dissolved_O2_Max_2020,Dissolved_O2_Min_2019,Dissolved_O2_Max_2019,BOD_Min_2023,BOD_Max_2023,BOD_Min_2022,BOD_Max_2022,BOD_Min_2021,BOD_Max_2021,BOD_Min_2020,BOD_Max_2020,BOD_Min_2019,BOD_Max_2019,Nitrate_Min_2023,Nitrate_Max_2023,Nitrate_Min_2022,Nitrate_Max_2022,Nitrate_Min_2021,Nitrate_Max_2021,Nitrate_Min_2020,Nitrate_Max_2020,Nitrate_Min_2019,Fecal_Coliform_Min_2023,Fecal_Coliform_Max_2023,Fecal_Coliform_Min_2022,Fecal_Coliform_Max_2022,Fecal_Coliform_Min_2021,Fecal_Coliform_Max_2021,Fecal_Coliform_Min_2020,Fecal_Coliform_Max_2020,Fecal_Coliform_Min_2019,Total_Coliform_Min_2023,Total_Coliform_Max_2023,Total_Coliform_Min_2022,Total_Coliform_Max_2022,Total_Coliform_Min_2021,Total_Coliform_Max_2021,Total_Coliform_Min_2020,Total_Coliform_Max_2020,Total_Coliform_Min_2019,Fecal_Streptococci_Min_2023,Fecal_Streptococci_Max_2023,Fecal_Streptococci_Min_2022,Fecal_Streptococci_Max_2022,Fecal_Streptococci_Min_2021,Fecal_Streptococci_Max_2021,Fecal_Streptococci_Min_2020,Fecal_Streptococci_Max_2020
1,"RIVER YAMUNA AT BURIYA U/S JAGADHARI, MANDOLI, HARYANA",HARYANA,8,8.4,7.08,8.02,7,8,,,,211,358,,,,196,362,,,,17.5,27.5,,,,14.2,27,,,,7.9,8.8,,,,8.3,9.8,,,,1,15,,,,1,1.6,,,,0.53,0.89,,,,0.32,0.92,,,,110,4900,,,,13,1400,,,,790,92000,,,,23,11000,,,,2,490,,,
2,RIVER YAMUNA AT HATHNIKUND,HARYANA,7.8,8.3,7.13,7.81,7.2,8,,,,212,390,,,,133,372,,,,14,20,,,,15,27,,,,7.6,9.8,,,,7.2,8.8,,,,1,6,,,,1,2.3,,,,0.79,1.07,,,,0.42,0.82,,,,14,1300,,,,8,2200,,,,79,13000,,,,49,17000,,,,5,330,,,
3,"RIVER YAMUNA AT HATHNIKUND, YAMUNANAGAR",HARYANA,7.3,8.2,6.85,8.07,7.6,8.1,7.3,8.3,7.7,213,953,210,307,194,310,192,620,128,8,,,21,29,20,29,6.8,7.8,5.2,7.1,5.9,8.8,7.1,8.5,4.8,1,4.2,1.6,4.6,2.5,5.8,2.4,6.6,1.6,8.1,0.3,0.3 BDL,BDL,0.3,0.38 BDL,0.65,,2,200,1300,5800,110,4900,200,3200,200,1.7,200,900,100,17500,2200,13000,110,21200,1300,8000,2,90,,,2,130,,84000,,,,,
4,"RIVER YAMUNA AT KALANAUR,  YAMUNANAGAR",HARYANA,,7.1,8.2,7.2,7.7,7.6,8.1,7.2,8.3,7.5,214,954,170,308,214,366,197,608,128,8,,,19,29,20,3740,6,7.9,5.9,7.1,5.6,9.7,6.8,9.3,4.5,28,1,6.2,2.4,5.8,2.4,4.2,2.2,5.2,2,9.2,0.3,0.3 BDL,BDL,0.3,0.3 BDL,26,0.1,2.8,100,400,400,6300,100,6300,200,49000,1300,1.6,300,1200,100,21200,200,22100,3900,1600000,2700,40000,2,200,,,13,3500,,,426000,
5,"RIVER YAMUNA AT MANGLAURA, KARNAL",HARYANA,,6.9,8.1,7.81,7.81,7.1,8.2,,,,215,864,267,330,230,506,,,,,,21,32,,,,5.2,7.8,6,8.5,6.2,10.6,,,,1.2,30,2.4,5.2,1.2,7.9,,,,0,0.3,,,0.32,0.92,,,,100,1500,,,17,13000,,,,400,4200,600,22300,46,24000,,,,2,580,,,13,3500,,,426000,,,,
6,"RIVER YAMUNA AT SONAULI ROAD, SHAMLI BORDER , PANIPAT (HARYANA)",HARYANA,7.7,8.6,7.1,7.1,7.2,7.9,7.1,8.3,,216,413,,,262,320,175,392,,,,,,21,32,,,,5.2,7.8,6,8.5,6.2,10.6,,,,1,6,,,1,10,1.2,6.4,,,0.52,1.66 BDL,BDL,0.42,0.82 BDL,1.01,,45,4900,200,7600,49,11000,200,3200,,,700,11000,,,240,27000,33,330000,,,140000,2,1100,,,23,790,4,920,,
7,RIVER YAMUNA AT KHOJKIPUR PANIPAT,HARYANA,6.9,7.8,6.58,7.6,7.3,8.2,6.9,8.4,7.3,217,989,418,827,218,1576,230,761,243,8.2,,,30,32,,,,26,3.8,7.4,6.7,7.8,0.3,8.3,5.6,8.6,4.6,760,1.2,6.8,1.8,16,2,21,1.5,9.1,1.3,11.2,0.3,0.3 BDL,BDL,0.3,0.38 BDL,1.95,,14,100,600,200,7600,200,280000,200,49000,800,1.3,600,1700,400,17300,900,920000,240,540000,3400,140000,2,200,,,330,94000,9.3,28000,426000
8,"RIVER YAMUNA AT SONIPAT, BAGHPAT ROAD(HARYANA)",HARYANA,7.7,8.7,7.21,7.65,7.4,7.8,7.2,8.6,,218,620,,,262,920,212,624,,,,,,31,31,,,,6.3,8.6,,,4.8,10.2,6.7,8.6,,,1,8,,,3,20,2.8,4.4,,,0.66,1.99,,,0.3,0.3 BDL,1.23,,,92,2300,,,130,79000,18,49000,,,270,4900,,,210,220000,92,79000,,,11,1400,,,33,790,23,3400
9,"RIVER YAMUNA AT SONIPAT, BAGHPAT ROAD(HARYANA)",HARYANA,6.1,8.1,7.09,7.56,7.5,7.8,6.5,8.6,7.1,219,350,282,282,266,583,235,683,226,8.9,,,14,35,,,,6,7.8,7,7,5.1,7,7.1,10.6,7.6,9.8,1,6.2,3.2,3.2,1.8,4.2,1.8,5.5,,,0.3,0.32 BDL,BDL,0.3,0.3 BDL,0.36,,1.5,2,1000,100,100,900,10900,110,220000,23,94000,200,10000,600,600,2600,54200,330,1600000,23,94000,2,200,,,33,1100,,,,
10,"RIVER YAMUNA AT PALLA, DELHI ",HARYANA,,5.5,8.2,6.85,7.45,7.6,8,6.7,8.6,,235,1080,,,268,3680,271,682,232,8.9,,,14,35,,,,5.2,7.8,,,5.7,6.8,5.8,12.5,,,1.8,6.8,,,2.4,4.8,1.6,5.6,,,0,0.3,,,0.3,0.3 BDL,0.54,,,100,1100,,,100,22100,170,94000,,,400,3400,,,700,42600,410,345000,,,2,200,,,33,5400,,
11,"RIVER YAMUNA AT PALLA, DELHI",DELHI,7.5,7.5,6.68,7.33,7.7,8.6,,,,1172,1172,,,525,851,,,,,,,,,,11.2,11.2,,,3.9,9.6,,,,13,13,,,1,14,,,,2,2,,,0.67,1.85,,,,1400,1400,,,68,33000,,,,2200,2200,,,790,54000,,,,,,,,,,,,,,,,,,
12,"RIVER YAMUNA AT PALLA, DELHI",DELHI,7.4,8.2,6.84,7.48,7.8,8.5,,,,346,1265,,,689,1711,273,789,,,8.9,,,,,,,,,,,,1,16,,,2.5,11,,,,0.32,2.31,,,0.3,2,,,,200,2600000,,,68,22000,,,,54000,7000000,,,460,54000,,,4100,,,,,,,,,,,,,,,,,
